#SteamId|Cash
76561198018810644|103018
76561198058860200|10
76561197998175103|46513
76561198286088090|12765
76561198005596761|1950
76561198044721427|9446
76561198144094190|1930
76561198274418383|2090
76561198000299255|510
76561198065328385|2000
76561198119417964|2000
76561197965840565|10250
76561197965751283|120
76561198064133964|7250
76561198203572140|2030
76561198195062528|30
76561198031607938|260
76561197996881658|2030
76561198066613807|2720
76561198097673487|571
76561198201555401|2090
76561198043765069|7700
76561198165028472|90
76561197975974160|2050
76561198016539114|3544
76561198218277949|2060
76561198039361067|6610
76561198022461071|30
76561198234970748|240
76561198294495672|180
76561198217084677|120
76561198142662589|60
76561198189165325|11556
76561198035592720|2287
76561198120696812|12138
76561198062550256|120
76561197989004622|30
76561198051197480|20
76561198083734769|720
76561198191114205|200
76561198059650329|40090
76561198002561214|1630
76561198120083474|780
76561198114051638|150
76561198145337059|1250
76561198012506215|750
76561198067132083|660
76561198223257748|660
76561198093741732|300
76561197969031888|284
76561197971854743|280
76561198126741798|240
76561198294728950|10799
76561198195280319|6590
76561198012994532|120
76561198014729954|5530
76561198092673642|30
76561198128401410|300
76561198119659298|300
76561198018767464|930
76561198119377761|900
76561198059217834|300
76561198047880606|900
76561198096667851|742
76561198030227070|60
76561198135505697|2580
76561198237532870|30
76561198115656060|570
76561198297393960|30
76561198168992599|30
76561197961901216|11570
76561198046609635|1080
76561198051685245|3060
76561198130512780|960
76561198137243520|480
76561198003465382|1020
76561198058522376|60
76561198067392156|390
76561198113928319|120
76561198277700576|390
76561198055041232|2760
76561198093879915|6056
76561198172609817|880
76561198023463064|620
76561197963526950|7080
76561197972817615|60
76561198052297011|630
76561197993784349|30
76561197995790660|2070
76561198010354156|410
76561198240925180|990
76561198051110727|770
